# Started: 2026-05-09T22:25:24.3692703+02:00
# Command: backend\.venv\Scripts\python.exe -u -m backend.scripts.training_experiments.run_experiments --include-optional-boosters --skip-lstm --station Control_59_3-3_O --station RDC_62_6-3_O --station Secano_53_3-2_O --output-dir backend/scripts/training_experiments/results/full_platform_no_telemetry

2026-05-09 22:25:44,651 INFO Station Control_59_3-3_O: rows=448, holdout_idx=380, platform_inputs=humedad_Hd05,humedad_Hd15,humedad_Hd25,humedad_Hd35,humedad_Hd45,humedad_Hd55,humedad_Hd65,humedad_Hd75,tmax,tmin,pluv,dpv
2026-05-09 22:25:46,888 INFO Control_59_3-3_O | MCD | HistGB | HistGB#BASELINE W=7 V=basic rmse=191.2635±150.8681 ho=106.7523 t=2.1s OK
2026-05-09 22:37:11,096 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#007 W=5 V=calendar rmse=nan±nan ho=nan t=0.1s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:12,425 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#008 W=10 V=multi_roll rmse=154.4436±100.8011 ho=100.8472 t=0.9s OK
2026-05-09 22:37:14,236 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#009 W=28 V=irrigation_memory rmse=164.6259±121.5574 ho=102.4842 t=1.0s OK
2026-05-09 22:37:14,367 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#010 W=21 V=stress_indices rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:14,762 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#011 W=3 V=ema rmse=nan±nan ho=nan t=0.4s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:14,815 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#012 W=10 V=target_only rmse=nan±nan ho=nan t=0.0s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:16,725 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#013 W=7 V=calendar rmse=150.2687±76.5823 ho=99.9244 t=1.2s OK
2026-05-09 22:37:17,203 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#014 W=5 V=basic rmse=nan±nan ho=nan t=0.5s ERR early_stopped_worse_than_baseline
2026-05-09 22:37:17,976 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#015 W=10 V=calendar rmse=164.6797±92.1303 ho=96.7064 t=0.4s OK
2026-05-09 22:37:19,639 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#016 W=7 V=soil_profile rmse=152.1546±78.8792 ho=103.4158 t=1.2s OK
2026-05-09 22:37:20,226 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#017 W=2 V=multi_roll rmse=163.4546±128.3954 ho=105.6569 t=0.4s OK
2026-05-09 22:37:23,010 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#018 W=10 V=soil_profile rmse=154.5885±80.9661 ho=103.7001 t=2.0s OK
2026-05-09 22:37:30,804 INFO Control_59_3-3_O | MCD | LightGBM | LightGBM#019 W=21 V=irrigation_memory rmse=145.0263±81.7396 ho=104.6534 t=5.1s OK
2026-05-09 22:37:37,587 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#000 W=2 V=full rmse=142.3938±91.3082 ho=96.2264 t=4.9s OK
2026-05-09 22:37:40,074 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#001 W=10 V=multi_roll rmse=138.3447±76.7489 ho=106.6702 t=1.8s OK
2026-05-09 22:38:00,774 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#002 W=21 V=irrigation_memory rmse=142.0974±90.3497 ho=98.3268 t=14.6s OK
2026-05-09 22:38:04,552 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#003 W=10 V=full rmse=133.2034±74.5813 ho=93.2740 t=2.6s OK
2026-05-09 22:38:07,031 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#004 W=3 V=soil_profile rmse=182.4651±137.9295 ho=97.6686 t=2.0s OK
2026-05-09 22:38:13,752 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#005 W=7 V=robust_smoothing rmse=142.4394±81.9085 ho=99.1270 t=5.2s OK
2026-05-09 22:39:11,803 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#006 W=35 V=multi_roll rmse=152.0077±106.6687 ho=105.4722 t=40.0s OK
2026-05-09 22:39:30,113 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#007 W=7 V=multi_roll rmse=132.6401±77.3502 ho=97.7657 t=13.5s OK
2026-05-09 22:39:40,541 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#008 W=28 V=long_lags rmse=134.5084±68.8603 ho=99.4184 t=7.7s OK
2026-05-09 22:40:39,523 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#009 W=21 V=stress_indices rmse=139.6559±76.3273 ho=95.4861 t=44.2s OK
2026-05-09 22:40:50,093 INFO Control_59_3-3_O | MCD | XGBoost | XGBoost#010 W=35 V=multi_roll rmse=145.4431±94.2651 ho=96.6097 t=7.7s OK
